r,g,b,label
0.22077922077922077,0.17721518987341772,0.21951219512195122,WRONG
0.37662337662337664,0.34177215189873417,0.4146341463414634,WRONG
0.35064935064935066,0.31645569620253167,0.3902439024390244,WRONG
0.3246753246753247,0.25316455696202533,0.2804878048780488,WRONG
0.22077922077922077,0.4050632911392405,0.06097560975609756,WRONG
1,0.17721518987341772,0.23170731707317074,GOOD
0.2727272727272727,0.24050632911392406,0.25609756097560976,WRONG
0.5584415584415584,0.46835443037974683,0.5365853658536586,WRONG
0.4805194805194805,0.4177215189873418,0.4146341463414634,WRONG
0.5064935064935064,0.4810126582278481,0.6097560975609756,WRONG
0.6623376623376623,0.5569620253164557,0.6585365853658537,WRONG
0,0,0,WRONG
0.18181818181818182,0.1518987341772152,0.17073170731707318,WRONG
0.22077922077922077,0.16455696202531644,0.18292682926829268,WRONG
0.19480519480519481,0.189873417721519,0.18292682926829268,WRONG
0,0,0,WRONG
0.03896103896103896,0.012658227848101266,0.012195121951219513,WRONG
0.18181818181818182,0.379746835443038,0.036585365853658534,WRONG
0.15584415584415584,0.6582278481012658,1,WRONG
0.07792207792207792,0.05063291139240506,0.06097560975609756,WRONG
0.5714285714285714,0.5189873417721519,0.5487804878048781,WRONG
0.6493506493506493,0.620253164556962,0.7804878048780488,WRONG
0.15584415584415584,0.10126582278481013,0.0975609756097561,WRONG
0.06493506493506493,0.06329113924050633,0.07317073170731707,WRONG
0.11688311688311688,0.11392405063291139,0.10975609756097561,WRONG
0.12987012987012986,0.10126582278481013,0.10975609756097561,WRONG
0.2597402597402597,0.22784810126582278,0.25609756097560976,WRONG
0.19480519480519481,0.189873417721519,0.21951219512195122,WRONG
0.14285714285714285,0.12658227848101267,0.15853658536585366,WRONG
0,0,0,WRONG
0.025974025974025976,0.012658227848101266,0.024390243902439025,WRONG
0.07792207792207792,0.0759493670886076,0.08536585365853659,WRONG
0.16883116883116883,0.1518987341772152,0.17073170731707318,WRONG
0,0.012658227848101266,0,WRONG
0.06493506493506493,0.06329113924050633,0.08536585365853659,WRONG
0.19480519480519481,0.16455696202531644,0.21951219512195122,WRONG
0.15584415584415584,0.1518987341772152,0.21951219512195122,WRONG
0.06493506493506493,0.05063291139240506,0.06097560975609756,WRONG
0.2077922077922078,0.16455696202531644,0.17073170731707318,WRONG
0.012987012987012988,0.012658227848101266,0.04878048780487805,WRONG
0,0,0,WRONG
0,0,0,GOOD
0,0,0,GOOD
0,0,0,GOOD
0.012987012987012988,0,0,WRONG
0,0,0,GOOD
0.12987012987012986,0.06329113924050633,0.04878048780487805,GOOD
0.07792207792207792,0.02531645569620253,0,GOOD
0,0,0,GOOD
0.03896103896103896,0,0,GOOD
0.11688311688311688,0.0379746835443038,0.04878048780487805,GOOD
0.06493506493506493,0,0,GOOD
0,0,0,WRONG
0,0,0,WRONG
